date,confirmed,nosymptom,transformed,confirmed-ctrl,nosymptom-ctrl,confirmed-import,nosymptom-import
2022-4-22,2736,20634,1120,1542,20490,,1
2022-4-21,1931,15698,143,1685,15551,,
2022-4-20,2634,15861,459,1976,15619,,
2022-4-19,2494,16407,533,1800,16178,,
2022-4-18,3084,17332,974,1894,16998,,
2022-4-17,2417,19831,853,1409,19425,3,
2022-4-16,3238,21582,1177,1754,21167,2,
2022-4-15,3590,19923,922,2311,19428,4,2
2022-4-14,3200,19872,307,2547,19494,,
2022-4-13,2573,25146,114,2200,24548,,
2022-4-12,1189,25141,23,867,24500,1,
2022-4-11,994,22348,273,439,21844,4,1
2022-4-10,914,25173,47,564,24230,3,
2022-4-9,1006,23937,191,228,23412,9,2
2022-4-8,1015,22609,420,301,21853,2,2
2022-4-7,824,20398,323,121,19798,4,3
2022-4-6,322,19660,15,12,19027,7,1
2022-4-5,311,16766,40,4,16256,4,1
2022-4-4,268,13086,4,14,12592,3,2
2022-4-3,425,8581,71,7,7920,8,4
2022-4-2,438,7788,73,16,6773,6,1
2022-4-1,260,6051,2,8,5402,2,
2022-3-31,358,4144,20,8,3710,7,1
2022-3-30,355,5298,16,10,4477,3,1
2022-3-29,326,5656,18,17,5131,3,2
2022-3-28,96,4381,21,7,3824,11,1
2022-3-27,50,3450,,17,2833,10,4
2022-3-26,45,2631,,27,2363,6,2
2022-3-25,38,2231,5,3,1773,9,2
2022-3-24,29,1580,,12,1455,12,5
